Content Name,Filename,Message Text (English),Message Text (French),Question/Comments,"Reviewed by all 3 teams? (CMU, Delaware, Eneza)",Ready to record?,Recorded,Audio File Type,Record Delivery Date,Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
Question,quel_mot_se_termine_en,What word ends in,Quel mot se termine en,"I would recommend a filename that uses the Unit_Question number, rather than the actual text, due to possible issues in special characters, punctuation, etc. (e.g. ""Question_1_1"") -Michael","Eneza, CMU, ____",No,Yes,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,appuie_1_pour,Supports 1,Appuie 1 pour,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,2_pour,2,2 pour,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ou_3_pour,or 3,ou 3 pour,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_se_termine_en,Which ends in,Lequel se termine en,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_ne_va_pas_avec_les_autres,Which word does not go with the others?,Quel mot ne va pas avec les autres?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_ne_va_pas_avec_les_autres,Which is wrong with the others?,Lequel ne va pas avec les autres?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,les_mots_suivants_riment_ils,"The following words, they rhyme?","Les mots suivants, riment-ils?",,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,les_syllabes_suivantes_riment_elles,"The following syllables, rhyming they?","Les syllabes suivantes, riment-elles?",,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelle_paire_des_mots_fait_une_rime,What a pair of words that rhyme?,Quelle paire de mots fait une rime?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,oui,Yes,oui,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,non,no,non,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelle_paire_fait_une_rime,Which pair made a rhyme?,Quelle paire fait une rime?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,ecoute_ces_syllabes_laquelle_ne_va_pas_avec_les_autres,Hear these syllables. Which does not go with the others?,Écoute ces syllabes. Laquelle ne va pas avec les autres?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_commence_le_mot,What sound the word starts,Avec quel son commence le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_commence_la_syllabe,What sound begins the syllable,Avec quel son commence la syllabe,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_se_termine_le_mot,What sound the word ends,Avec quel son se termine le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_se_termine_la_syllabe,What sound syllable ends,Avec quel son se termine la syllabe,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_commence_avec_le_son,What word starts with sound,Quel mot commence avec le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,regarde_cette_lettre_Quel_son_fait_elle,Look at this letter. What's she doing?,Regarde cette lettre. Quel son fait-elle?,Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,regarde_ces_lettres_si_on_les_met_ensemble_quel_son_font_elles,"Look at these letters. If you put them together, what sound they make","Regarde ces lettres. Si on les met ensemble, quel son font-elles",Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,tape_la_lettre_qui_fait_le_son,Tape the letter makes the sound,Tape la lettre qui fait le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,une_des_orthographes_suivantes_fait_le_mot,One of these is the word spellings,Une des orthographes suivantes fait le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel,Which?,Lequel?,On parle bien d'un mot là?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelle_lettre_fait_ce_son,What letter makes this sound,Quelle lettre fait ce son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,regarde_ces_syllabes,Viewing these syllables,Regarde ces syllabes,Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,laquelle_ne_contient_pas_le_son,Which contains no sound,Laquelle ne contient pas le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ecoute_ces_trois_mots,Listening to these three words,Écoute ces trois mots,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_ne_contient_pas_cette_lettre,What word does not contain the letter?,Quel mot ne contient pas cette lettre?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ecoute_ces_trois_syllabes,Listening to these three syllables,Écoute ces trois syllabes,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,laquelle_ne_contient_pas_cette_lettre,Which does not contain the letter?,Laquelle ne contient pas cette lettre?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_commence_avec_le_son,Which begins with the sound,Lequel commence avec le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_commence_ce_mot,What sound the word starts,Avec quel son commence ce mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_commence_avec_le_son,Which begins with the sound,Lequel commence avec le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_commence_cela,What sound it starts,Avec quel son commence cela,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_se_termine_avec_le_son,What word ends with the sound,Quel mot se termine avec le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,avec_quel_son_se_termine_ce_mot,What sound ends this word,Avec quel son se termine ce mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_se_termine_en,Which ends in,Lequel se termine en,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,en_quel_son_se_termine_cela,In what its ends it,En quel son se termine cela,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
